name,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,protection,fa_glofris,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets,id
Cameroon,2739.34394480018,22253959,0.54381,0.666666666666667,0.566666666666667,0.419737574602948,3,0.2,1.5,0.06,0.8,0.05,20,0.0370217151402724,0.0476060271211546,1.33983114155939,0.266037463245458,5920386.79952843,5.8670867775603e-08,1.30565908597269,0.012579438775468,0.572354026820265,12737143.0463431,0.000208938358363763,0.464812774574925,9.71172180661907e-05,CMR
Canada,41898.8823594636,35154279,0.81828,0.866666666666667,0.833333333333333,0.335483893855846,3,0.2,1.5,0.06,0.8,0.05,20,0.0368631344585693,0.2370878173,1.26023972122897,1.10466737261958,38833785.0192657,2.72564160629535e-09,0.0958179654817148,0.0330344284994742,1.59108211567819,55933344.6064614,3.79743331105541e-05,0.694286838959736,2.63650796969307e-05,CAN
Central African Republic,584.375944042188,4616417,0.40037,0,0,0.314743833051068,3,0.2,1.5,0.06,0.8,0.05,20,0.0446324846153734,0.0686958066714803,1.24064733211844,0.0945172369936588,436330.979650556,1.8801516051129e-07,0.867956383242048,0,0.180719318740955,834275.735264162,0.000309251810556918,0.523005717662875,0.000161740465118864,CAF
Chad,2021.59347086517,12825314,0.22471,0,0,0.753200994464472,3,0.2,1.5,0.06,0.8,0.05,20,0.0781597334231037,0.0719096809915439,1.65484203461084,0.108359976956615,1389750.72950135,3.80579545200374e-08,0.488105216917199,0,0.235375094130548,3018759.49000383,0.00011643047799804,0.460371465200625,5.36012697499666e-05,TCD
Chile,21714.0315564501,17619708,0.8953,0.8,0.925,0.347394111818553,3,0.2,1.5,0.06,0.8,0.05,20,0.0837231813623692,0.186266869829549,1.27149087554877,2.867685073783,50527773.6360149,2.47656116404802e-08,0.436362845546661,0.138716054438824,5.3920425117558,95006214.5807239,0.000248320653755065,0.531836510474618,0.00013206598997187,CHL
China,11524.567506563,1357380000,0.55614,0.8,0.841666666666667,0.22921637913924,3,0.2,1.5,0.06,0.8,0.05,20,0.0926853585795001,0.188221863222267,1.15985262411608,0.452069172682421,613629653.615664,8.32088924287573e-09,11.2946086404947,0.0134954799066497,0.700447732590772,950773743.264062,6.07786567428133e-05,0.645400294195166,3.92265629425987e-05,CHN
Colombia,12025.3853718442,48321405,0.76436,0.733333333333333,0.716666666666667,0.279779256479971,3,0.2,1.5,0.06,0.8,0.05,20,0.0341975035461195,0.101787187159542,1.20761755483312,2.97664473663289,143835655.859956,8.40763407309291e-08,4.06268691137722,0.124177671684631,7.54425536534144,364549018.932087,0.000627360798183257,0.394557791655317,0.000247530091102303,COL
"Congo, Dem. Rep.",783.259253578526,67513677,0.42494,0.4,0.375,0.237056001858091,3,0.2,1.5,0.06,0.8,0.05,20,0.0363293932754394,0.0310933287671586,1.1672584335895,0.24491345565467,16535007.9380232,2.497550555306e-07,16.86188214821,0.00170185948954767,0.372517105771418,25149999.5560263,0.000475598729372778,0.657455595622908,0.000312685045897278,COD
"Congo, Rep.",5680.22998274433,4447632,0.6538,0,0.125,0.372753423902324,3,0.2,1.5,0.06,0.8,0.05,20,0.0348527324926088,0.161609678596933,1.29544690511866,1.02281969482383,4549125.60492868,7.20833491446379e-08,0.320600210322864,0,2.09969953009125,9338690.82041882,0.000369650443110547,0.487126696065591,0.000180066599051622,COG
Costa Rica,13430.7432070712,4872166,0.76821,0.933333333333333,0.75,0.481896754917364,3,0.2,1.5,0.06,0.8,0.05,20,0.0200275571261856,0.241123791151114,1.39855068240234,0.948644987323702,4621955.85330897,1.76806867514789e-08,0.0861432408472057,0.0329219597869678,1.87246876579929,9122978.65678924,0.00013941661581419,0.50662793668484,7.06323524095261e-05,CRI
